,date,team1,team2,daybefore,twoweeks,winrate1,winrate2
193,2021-03-19,NS RED FORCE,Afreeca Freecs,2021-03-18,2021-03-04,28.6%,0%
194,2021-03-19,Afreeca Freecs,NS RED FORCE,2021-03-18,2021-03-04,0%,28.6%
195,2021-03-18,kt Rolster,Hanwha Life Esports,2021-03-17,2021-03-03,14.3%,66.7%
196,2021-03-18,Hanwha Life Esports,kt Rolster,2021-03-17,2021-03-03,66.7%,14.3%
197,2021-03-18,Gen.G eSports,DWG KIA,2021-03-17,2021-03-03,33.3%,100%
198,2021-03-18,DWG KIA,Gen.G eSports,2021-03-17,2021-03-03,100%,33.3%
199,2021-03-14,NS RED FORCE,DWG KIA,2021-03-13,2021-02-27,57.1%,85.7%
200,2021-03-14,DWG KIA,NS RED FORCE,2021-03-13,2021-02-27,85.7%,57.1%
201,2021-03-14,Liiv Sandbox,Hanwha Life Esports,2021-03-13,2021-02-27,66.7%,75%
202,2021-03-14,Hanwha Life Esports,Liiv Sandbox,2021-03-13,2021-02-27,75%,66.7%
203,2021-03-13,Afreeca Freecs,Fredit BRION,2021-03-12,2021-02-26,33.3%,33.3%
204,2021-03-13,Fredit BRION,Afreeca Freecs,2021-03-12,2021-02-26,33.3%,33.3%
205,2021-03-13,T1,Gen.G eSports,2021-03-12,2021-02-26,42.9%,60%
206,2021-03-13,Gen.G eSports,T1,2021-03-12,2021-02-26,60%,42.9%
207,2021-03-12,NS RED FORCE,DRX,2021-03-11,2021-02-25,33.3%,57.1%
208,2021-03-12,DRX,NS RED FORCE,2021-03-11,2021-02-25,57.1%,33.3%
209,2021-03-12,Liiv Sandbox,kt Rolster,2021-03-11,2021-02-25,33.3%,14.3%
210,2021-03-12,kt Rolster,Liiv Sandbox,2021-03-11,2021-02-25,14.3%,33.3%
211,2021-03-11,Hanwha Life Esports,Afreeca Freecs,2021-03-10,2021-02-24,66.7%,42.9%
212,2021-03-11,Afreeca Freecs,Hanwha Life Esports,2021-03-10,2021-02-24,42.9%,66.7%
213,2021-03-11,DWG KIA,Fredit BRION,2021-03-10,2021-02-24,85.7%,42.9%
214,2021-03-11,Fredit BRION,DWG KIA,2021-03-10,2021-02-24,42.9%,85.7%
215,2021-03-07,Gen.G eSports,Hanwha Life Esports,2021-03-06,2021-02-20,60%,71.4%
216,2021-03-07,Hanwha Life Esports,Gen.G eSports,2021-03-06,2021-02-20,71.4%,60%
217,2021-03-07,Fredit BRION,DRX,2021-03-06,2021-02-20,60%,50%
218,2021-03-07,DRX,Fredit BRION,2021-03-06,2021-02-20,50%,60%
